;SampleName;NucleicAcidID;Concentration;Volume;RNAAmount;RIN;Day;Mouse;Cage;Treatment;DayTreatment;Sample;Lipocalin;HistologicalScore
D0dcRH3;D0 dc R H3;EKRN210016481-1A;771;22;16,962;9,2;D0;H3;H;Untreated;D0_None;D0dcRH3;;0
D0dcRH4;D0 dc R H4;EKRN210016482-1A;860;23;19,78;9,2;D0;H4;H;Untreated;D0_None;D0dcRH4;;0,5
D0dcRH5;D0 dc R H5;EKRN210016483-1A;487;25;12,175;9,4;D0;H5;H;Untreated;D0_None;D0dcRH5;;0
D10dcRB5;D10 dc R B5;EKRN210016484-1A;960;25;24;8,9;D10;B5;B;Untreated;D10_None;D10dcRB5;6,717831704;0
D10dcRE2;D10 dc R E2;EKRN210016485-1A;690;22;15,18;9,3;D10;E2;E;Untreated;D10_None;D10dcRE2;7,463232297;0
D10dcRF4;D10 dc R F4;EKRN210016486-1A;771;25;19,275;9,2;D10;F4;F;Untreated;D10_None;D10dcRF4;6,166506199;0
D20dcRB6;D20 dc R B6;EKRN210016487-1A;1198;20;23,96;9,2;D20;B6;B;Untreated;D20_None;D20dcRB6;30,75447946;1
D20dcRD2;D20 dc R D2;EKRN210016488-1A;619;24;14,856;9,3;D20;D2;D;Untreated;D20_None;D20dcRD2;13,90948188;0
D20dcRF5;D20 dc R F5;EKRN210016489-1A;778;24;18,672;9,3;D20;F5;F;Untreated;D20_None;D20dcRF5;22,73506214;0,5
D30dcRB4;D30 dc R B4;EKRN210016490-1A;868;22;19,096;9,3;D30;B4;B;Untreated;D30_None;D30dcRB4;61,55187658;0,5
D30dcRE6;D30 dc R E6;EKRN210016491-1A;887;23;20,401;9,2;D30;E6;E;Untreated;D30_None;D30dcRE6;112,3657369;1
D30dcRC3;D30 dc R C3;EKRN210016493-1A;1063;21;22,323;7,9;D30;C3;C;aIL12;D30_aIL12;D30dcRC3;457,1529102;2,5
D30dcRG2;D30 dc R G2;EKRN210016494-1A;58;17;0,986;9,1;D30;G2;G;aIL12;D30_aIL12;D30dcRG2;72,85410725;0
D30dcRG4;D30 dc R G4;EKRN210016495-1A;41;16;0,656;9,3;D30;G4;G;aIL12;D30_aIL12;D30dcRG4;28,01366602;0
D40dcRB7;D40 dc R B7;EKRN210016496-1A;839;24;20,136;8,7;D40;B7;B;Untreated;D40_None;D40dcRB7;1063,273367;1,5
D40dcRD1;D40 dc R D1;EKRN210016497-1A;1133;24;27,192;8,8;D40;D1;D;Untreated;D40_None;D40dcRD1;1086,673156;6,5
D40dcRF1;D40 dc R F1;EKRN210016498-1A;583;24;13,992;8,6;D40;F1;F;Untreated;D40_None;D40dcRF1;72,30398772;0
D40dcRG1;D40 dc R G1;EKRN210016499-1A;564;22;12,408;8,8;D40;G1;G;aIL12;D40_aIL12;D40dcRG1;53,90541685;0
D40dcRG5;D40 dc R G5;EKRN210016500-1A;419;24;10,056;9;D40;G5;G;aIL12;D40_aIL12;D40dcRG5;2,159902468;0
D40dcRC6;D40 dc R C6;EKRN210016501-1A;829;24;19,896;7,6;D40;C6;C;aIL12;D40_aIL12;D40dcRC6;219,9609651;1
D50dcRB3;D50 dc R B3;EKRN210016502-1A;1047;21;21,987;8,1;D50;B3;B;Untreated;D50_None;D50dcRB3;780,7195447;3
D50dcRD5;D50 dc R D5;EKRN210016503-1A;577;22;12,694;8,1;D50;D5;D;Untreated;D50_None;D50dcRD5;65,03570879;0
D50dcRE4;D50 dc R E4;EKRN210016504-1A;523;23;12,029;8,9;D50;E4;E;Untreated;D50_None;D50dcRE4;3432,654414;1,5
D60dcRB8;D60 dc R B8;EKRN210016505-1A;1067;23;24,541;7,5;D60;B8;B;Untreated;D60_None;D60dcRB8;1931,457895;4
D60dcRD4;D60 dc R D4;EKRN210016506-1A;543;24;13,032;9,1;D60;D4;D;Untreated;D60_None;D60dcRD4;2717,465103;8
D60dcRE3;D60 dc R E3;EKRN210016507-1A;627;23;14,421;8,4;D60;E3;E;Untreated;D60_None;D60dcRE3;2944,720643;8
D60dcRC1;D60 dc R C1;EKRN210016508-1A;284;25;7,1;8,8;D60;C1;C;aIL12;D60_aIL12;D60dcRC1;59,60565343;1
D60dcRC4;D60 dc R C4;EKRN210016509-1A;317;25;7,925;8,8;D60;C4;C;aIL12;D60_aIL12;D60dcRC4;16,91887858;0
D60dcRG3;D60 dc R G3;EKRN210016510-1A;501;23;11,523;8,6;D60;G3;G;aIL12;D60_aIL12;D60dcRG3;49,20944553;0