;SampleName;NucleicAcidID;Concentration;Volume;RNAAmount;RIN;Week;Mouse;Cage;Sample;Lipocalin;Treatment;HistologicalScore
W0dcRA6;W0 dc R A6;EKRN210016535-1A;268;51;13,668;9,3;W0;A6;A;W0dcRA6;2,732344116;Untreated;0
W0dcRB1;W0 dc R B1;EKRN210016536-1A;183;45;8,235;9,5;W0;B1;B;W0dcRB1;2,685053661;Untreated;0
W0dcRF4;W0 dc R F4;EKRN210016537-1A;278;43;11,954;9,3;W0;F4;F;W0dcRF4;2,133443257;Untreated;0,5
W1dcRB2;W1 dc R B2;EKRN210016538-1A;207;43;8,901;9,4;W1;B2;B;W1dcRB2;15,74498996;Untreated;1
W1dcRF3;W1 dc R F3;EKRN210016539-1A;270;43;11,61;9,4;W1;F3;F;W1dcRF3;2,50264486;Untreated;0,5
W1dcRG1;W1 dc R G1;EKRN210016540-1A;293;44;12,892;9,4;W1;G1;G;W1dcRG1;6,705270206;Untreated;0
W2dcRA3;W2 dc R A3;EKRN210016541-1A;292;44;12,848;9,4;W2;A3;A;W2dcRA3;53,97822218;Untreated;1
W2dcRC3;W2 dc R C3;EKRN210016542-1A;361;43;15,523;9,3;W2;C3;C;W2dcRC3;74,17661147;Untreated;1,5
W2dcRG4;W2 dc R G4;EKRN210016543-1A;286;43;12,298;9,5;W2;G4;G;W2dcRG4;206,6888024;Untreated;0
W3dcRB5;W3 dc R B5;EKRN210016544-1A;495;42;20,79;9,2;W3;B5;B;W3dcRB5;411,6734148;Untreated;3,5
W3dcRC4;W3 dc R C4;EKRN210016545-1A;394;43;16,942;9,5;W3;C4;C;W3dcRC4;219,3818404;Untreated;1,5
W3dcRH2;W3 dc R H2;EKRN210016546-1A;457;43;19,651;9,3;W3;H2;H;W3dcRH2;275,2107078;Untreated;1
W3dcRD2;W3 dc R D2;EKRN210016547-1A;327;43;14,061;9,5;W3;D2;D;W3dcRD2;133,6195189;aIL12;1
W3dcRE1;W3 dc R E1;EKRN210016548-1A;313;43;13,459;9,2;W3;E1;E;W3dcRE1;38,74303551;aIL12;2
W3dcRE5;W3 dc R E5;EKRN210016549-1A;410;41;16,81;9,3;W3;E5;E;W3dcRE5;77,94972974;aIL12;0
W4dcRA1;W4 dc R A1;EKRN210016550-1A;480;42;20,16;9,4;W4;A1;A;W4dcRA1;1371,517964;Untreated;4
W4dcRC6;W4 dc R C6;EKRN210016551-1A;373;44;16,412;9,3;W4;C6;C;W4dcRC6;1792,937814;Untreated;2
W4dcRG3;W4 dc R G3;EKRN210016552-1A;639;42;26,838;9,3;W4;G3;G;W4dcRG3;660,3573826;Untreated;8
W5dcRA2;W5 dc R A2;EKRN210016553-1A;297;45;13,365;9,3;W5;A2;A;W5dcRA2;664,2185785;Untreated;3,5
W5dcRB4;W5 dc R B4;EKRN210016554-1A;642;42;26,964;8,8;W5;B4;B;W5dcRB4;4405,450873;Untreated;8,5
W5dcRC2;W5 dc R C2;EKRN210016555-1A;355;44;15,62;9;W5;C2;C;W5dcRC2;2411,933798;Untreated;8,5
W5dcRD4;W5 dc R D4;EKRN210016556-1A;283;43;12,169;9,3;W5;D4;D;W5dcRD4;614,8167888;aIL12;4
W5dcRD5;W5 dc R D5;EKRN210016557-1A;201;43;8,643;9,2;W5;D5;D;W5dcRD5;14,68029352;aIL12;0
W5dcRE6;W5 dc R E6;EKRN210016558-1A;267;43;11,481;7,5;W5;E6;E;W5dcRE6;171,7627828;aIL12;1
W6dcRB3;W6 dc R B3;EKRN210016559-1A;887;40;35,48;9,1;W6;B3;B;W6dcRB3;6954,736056;Untreated;7,5
W6dcRF2;W6 dc R F2;EKRN210016560-1A;733;39;28,587;9,1;W6;F2;F;W6dcRF2;1308,902521;Untreated;6
W6dcRF6;W6 dc R F6;EKRN210016561-1A;876;38;33,288;8,1;W6;F6;F;W6dcRF6;4370,424281;Untreated;6
W7dcRC5;W7 dc R C5;EKRN210016562-1A;880;39;34,32;9,1;W7;C5;C;W7dcRC5;4115,675598;Untreated;7
W7dcRF5;W7 dc R F5;EKRN210016563-1A;761;39;29,679;9,1;W7;F5;F;W7dcRF5;11940,02351;Untreated;8,5
W7dcRH1;W7 dc R H1;EKRN210016564-1A;678;51;34,578;9,2;W7;H1;H;W7dcRH1;34867,8322;Untreated;7
W7dcRD3;W7 dc R D3;EKRN210016565-1A;375;49;18,375;9,3;W7;D3;D;W7dcRD3;43,22042428;aIL12;1
W7dcRD6;W7 dc R D6;EKRN210016566-1A;340;45;15,3;9,2;W7;D6;D;W7dcRD6;42,61832218;aIL12;1
W7dcRE3;W7 dc R E3;EKRN210016567-1A;273;43;11,739;9,3;W7;E3;E;W7dcRE3;10,55757206;aIL12;1